Wiersma Cottage,wiersma-cottage,Northwestern College,Orange City,IA,,,,,https://www.nwciowa.edu/residence-life,Cottage residence,,https://www.nwciowa.edu/residence-life,Northwestern College Residence Life,,2026-05-16
Bolks Apartments,bolks-apartments,Northwestern College,Orange City,IA,Apartment,,,,https://www.nwciowa.edu/residence-life/apartments,Three apartment buildings for juniors and seniors,,https://www.nwciowa.edu/residence-life,Northwestern College Residence Life,,2026-05-16
Courtyard Village,courtyard-village,Northwestern College,Orange City,IA,Apartment,,,,https://www.nwciowa.edu/residence-life/apartments,Apartment community,,https://www.nwciowa.edu/residence-life,Northwestern College Residence Life,,2026-05-16
Buxton Hall,buxton-hall,Simpson College,Indianola,IA,Suite,,,134,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Co-ed suite-style alcohol-free upper-division residence hall,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Picken Hall,picken-hall,Simpson College,Indianola,IA,,,,94,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Co-ed alcohol-free upper-division residence hall,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Clinton Apartments,clinton-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Colonial Apartments,colonial-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Detroit Apartments,detroit-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Hamilton Apartments,hamilton-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Station Square Apartments,station-square-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Washington Apartments,washington-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Weinman Apartments,weinman-apartments,Simpson College,Indianola,IA,Apartment,,,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Junior/senior apartment building,,https://www.simpson.edu/life-at-simpson/housing-dining/apartments-and-halls/,Simpson College Residence Life,,2026-05-16
Aitchison Hall,aitchison-hall,University of Dubuque,Dubuque,IA,,,,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,First-year traditional residence hall,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,University of Dubuque Residence Life,,2026-05-16
Cassat Hall,cassat-hall,University of Dubuque,Dubuque,IA,,,,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,First-year traditional residence hall,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,University of Dubuque Residence Life,,2026-05-16
Donnell Hall,donnell-hall,University of Dubuque,Dubuque,IA,,,,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,First-year traditional residence hall,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,University of Dubuque Residence Life,,2026-05-16
Chlapaty Hall,chlapaty-hall,University of Dubuque,Dubuque,IA,,,2014,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,Pod-style second-year residence hall,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,University of Dubuque Residence Life,,2026-05-16
Park Village Apartments,park-village-apartments,University of Dubuque,Dubuque,IA,Apartment,,,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,Suite-style apartments for upper-class students,,https://www.dbq.edu/CampusLife/Facilities/ResidenceHalls/,University of Dubuque Residence Life,,2026-05-16
Burge Residence Hall,burge-residence-hall,University of Iowa,Iowa City,IA,,,,922,https://housing.uiowa.edu/residence-halls,East side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Catlett Residence Hall,catlett-residence-hall,University of Iowa,Iowa City,IA,,,,1049,https://housing.uiowa.edu/residence-halls,East side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Currier Residence Hall,currier-residence-hall,University of Iowa,Iowa City,IA,,,,628,https://housing.uiowa.edu/residence-halls,East side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Daum Residence Hall,daum-residence-hall,University of Iowa,Iowa City,IA,,,,344,https://housing.uiowa.edu/residence-halls,East side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Mayflower Residence Hall,mayflower-residence-hall,University of Iowa,Iowa City,IA,,,,810,https://housing.uiowa.edu/residence-halls,East side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Hillcrest Residence Hall,hillcrest-residence-hall,University of Iowa,Iowa City,IA,,,,823,https://housing.uiowa.edu/residence-halls,West side residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Parklawn Residence Hall,parklawn-residence-hall,University of Iowa,Iowa City,IA,,,,61,https://housing.uiowa.edu/residence-halls,Residence hall for returning students (north of campus),,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Petersen Residence Hall,petersen-residence-hall,University of Iowa,Iowa City,IA,,,,,https://housing.uiowa.edu/residence-halls,Residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Rienow Residence Hall,rienow-residence-hall,University of Iowa,Iowa City,IA,,,,,https://housing.uiowa.edu/residence-halls,Residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Slater Residence Hall,slater-residence-hall,University of Iowa,Iowa City,IA,,,,,https://housing.uiowa.edu/residence-halls,Residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Stanley Residence Hall,stanley-residence-hall,University of Iowa,Iowa City,IA,,,,,https://housing.uiowa.edu/residence-halls,Residence hall,,https://housing.uiowa.edu/residence-halls,University of Iowa Housing,,2026-05-16
Noehren Hall,noehren-hall,University of Northern Iowa,Cedar Falls,IA,Double,Shared,,,https://uhd.uni.edu/housing/noehren-hall,Pod-style residence hall with First Year Experience community,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Bender Hall,bender-hall,University of Northern Iowa,Cedar Falls,IA,Double,Communal,,,https://uhd.uni.edu/housing,Residence hall with First-Year Experience community,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Campbell Hall,campbell-hall,University of Northern Iowa,Cedar Falls,IA,Double,Communal,,,https://uhd.uni.edu/housing,Honors and First-Year Experience residence hall,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Hagemann Hall,hagemann-hall,University of Northern Iowa,Cedar Falls,IA,Double,Communal,,,https://uhd.uni.edu/housing,Residence hall with double occupancy rooms,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Rider Hall,rider-hall,University of Northern Iowa,Cedar Falls,IA,Double,,,,https://uhd.uni.edu/housing,Residence hall with double occupancy rooms,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Shull Hall,shull-hall,University of Northern Iowa,Cedar Falls,IA,Double,Communal,,,https://uhd.uni.edu/housing,Transfer/upperclass residence hall,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Lawther Hall,lawther-hall,University of Northern Iowa,Cedar Falls,IA,,,,,https://uhd.uni.edu/housing,Mix of traditional doubles/singles/suites,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Panther Village,panther-village,University of Northern Iowa,Cedar Falls,IA,Apartment,,,,https://uhd.uni.edu/housing,Apartment community with studio/2/4-bedroom units,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Roth Apartments,roth-apartments,University of Northern Iowa,Cedar Falls,IA,Apartment,,,,https://uhd.uni.edu/housing,Apartment community with 1/2/3-bedroom units,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Jennings Court Apartments,jennings-court-apartments,University of Northern Iowa,Cedar Falls,IA,Apartment,Private,,,https://uhd.uni.edu/housing,Apartment-style residence with private restroom and kitchen,,https://uhd.uni.edu/housing,University of Northern Iowa University Housing & Dining,,2026-05-16
Slife Hall,slife-hall,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/fy-residence-halls/,First-year residence hall (Ubuntu Center),,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Vollmer Hall,vollmer-hall,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/fy-residence-halls/,First-year residence hall (Ubuntu Center),,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Hebron Hall,hebron-hall,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/fy-residence-halls/,Residence hall (Ubuntu Center),,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Founders Hall,founders-hall,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/fy-residence-halls/,First-year residence hall,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Clinton Hall,clinton-hall,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/fy-residence-halls/,First-year residence hall,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Grossmann Hall,grossmann-hall,Wartburg College,Waverly,IA,Suite,,1995,,https://www.wartburg.edu/residence-halls/,Suite-style upper-class residence hall,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Löhe Hall,lohe-hall,Wartburg College,Waverly,IA,Suite,,2004,,https://www.wartburg.edu/residence-halls/,Suite-style upper-class residence hall,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Afton Manor,afton-manor,Wartburg College,Waverly,IA,,,,24,https://www.wartburg.edu/residence-halls/,Two-story house residence,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Waverly Manor,waverly-manor,Wartburg College,Waverly,IA,,,,24,https://www.wartburg.edu/residence-halls/,Two-story house residence,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
The Residence,the-residence,Wartburg College,Waverly,IA,Suite,,,,https://www.wartburg.edu/residence-halls/,Suite-style residence,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Knights Village,knights-village,Wartburg College,Waverly,IA,,,,,https://www.wartburg.edu/residence-halls/,Two-story townhouse community for 4-6 person groups,,https://www.wartburg.edu/residential-life/,Wartburg College Residential Life,,2026-05-16
Chaffee Hall,chaffee-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Driscoll Hall,driscoll-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Honors College,honors-college,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,Honors residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Sawtooth Hall,sawtooth-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Keiser Hall,keiser-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Morrison Hall,morrison-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Taylor Hall,taylor-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
University Square,university-square,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence community,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
University Suites,university-suites,Boise State University,Boise,ID,Suite,,,,https://www.boisestate.edu/housing/housing-options/,Suite-style residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
The Osprey,the-osprey,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,Residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Towers,towers,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,First-year residence hall,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Syringa Hall,syringa-hall,Boise State University,Boise,ID,,,,,https://www.boisestate.edu/housing/housing-options/,Six-floor residence hall overlooking Boise River,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Lincoln Townhomes,lincoln-townhomes,Boise State University,Boise,ID,Apartment,,,,https://www.boisestate.edu/housing/housing-options/,Sophomore and above townhome residence,,https://www.boisestate.edu/housing/,Boise State University Housing and Residence Life,,2026-05-16
Nichols Hall,nichols-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/south-complex/,South Complex residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Owen Hall,owen-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/south-complex/,South Complex residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Dyer Hall,dyer-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/south-complex/,South Complex residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Redfield Hall,redfield-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/south-complex/,South Complex residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Rendezvous Hall,rendezvous-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/the-rendezvous/,Residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Schubert Heights,schubert-heights,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/,Residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Turner Hall,turner-hall,Idaho State University,Pocatello,ID,,,,,https://www.isu.edu/housing/residence-halls/turner-hall/,Residence hall,,https://www.isu.edu/housing/residence-halls/,Idaho State University Housing,,2026-05-16
Clark Hall,clark-hall,Lewis-Clark State College,Lewiston,ID,,,1955,,https://www.lcsc.edu/residence-life/housing-options-pricing/residence-halls/clark-hall,Traditional residence hall on south campus,,https://www.lcsc.edu/residence-life,Lewis-Clark State College Housing & Residence Life,,2026-05-16
Clearwater Hall,clearwater-hall,Lewis-Clark State College,Lewiston,ID,Suite,,,,https://www.lcsc.edu/residence-life/housing-options-pricing/residence-halls/clearwater-hall,Apartment/suite-style dorm with 32 suites,,https://www.lcsc.edu/residence-life,Lewis-Clark State College Housing & Residence Life,,2026-05-16
College Place,college-place,Lewis-Clark State College,Lewiston,ID,Apartment,,,85,https://www.lcsc.edu/residence-life/housing-options-pricing/residence-halls/college-place,Apartment-style dormitory with single bedrooms,,https://www.lcsc.edu/residence-life,Lewis-Clark State College Housing & Residence Life,,2026-05-16
Parrish House,parrish-house,Lewis-Clark State College,Lewiston,ID,,,,,https://www.lcsc.edu/residence-life/housing-options-pricing/residence-halls,Traditional double/triple rooms with shared bathrooms,,https://www.lcsc.edu/residence-life,Lewis-Clark State College Housing & Residence Life,,2026-05-16
Talkington Hall,talkington-hall,Lewis-Clark State College,Lewiston,ID,,,,,https://www.lcsc.edu/residence-life/housing-options-pricing/residence-halls,Residence hall on main campus,,https://www.lcsc.edu/residence-life,Lewis-Clark State College Housing & Residence Life,,2026-05-16
Anderson Hall,anderson-hall,The College of Idaho,Caldwell,ID,,,,,https://collegeofidaho.edu/student-life/residence-life/halls-apartments/,Freshman residence hall,,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Hayman Hall,hayman-hall,The College of Idaho,Caldwell,ID,,,,,https://collegeofidaho.edu/student-life/residence-life/halls-apartments/,Freshman residence hall,,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Finney Hall,finney-hall,The College of Idaho,Caldwell,ID,Suite,,,57,https://collegeofidaho.edu/student-life/residence-life/halls-apartments/,Suite-style residence hall (oldest on campus),,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Voorhees Hall,voorhees-hall,The College of Idaho,Caldwell,ID,Double,,1912,75,https://collegeofidaho.edu/student-life/residence-life/halls-apartments/,Residence hall with double rooms and private bathrooms,,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Simplot Hall,simplot-hall,The College of Idaho,Caldwell,ID,,,1948,,https://collegeofidaho.edu/student-life/residence-life/halls-apartments/,Residence hall connected to dining hall (renovated 2008),,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Owyhee Hall,owyhee-hall,The College of Idaho,Caldwell,ID,,,,,https://collegeofidaho.edu/student-life/residence-life/residence-halls/modular-dorms,Modular residence hall built from shipping containers,,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
Sawtooth Hall,sawtooth-hall,The College of Idaho,Caldwell,ID,,,,,https://collegeofidaho.edu/student-life/residence-life/residence-halls/modular-dorms,Modular residence hall built from shipping containers,,https://collegeofidaho.edu/student-life/residence-life/,The College of Idaho Residence Life,,2026-05-16
McConnell Hall,mcconnell-hall,University of Idaho,Moscow,ID,Single,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Residence hall with single rooms on single-gender floors,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
The Tower,the-tower,University of Idaho,Moscow,ID,,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Residence hall,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
Wallace Residence Hall,wallace-residence-hall,University of Idaho,Moscow,ID,,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Residence hall,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
Elmwood Apartments,elmwood-apartments,University of Idaho,Moscow,ID,Apartment,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Studio/one-bedroom/loft apartments for second-year and above,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
South Hill Apartments,south-hill-apartments,University of Idaho,Moscow,ID,Apartment,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Townhouse-style apartments for 3rd-year and graduate students,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
South Hill Vista Apartments,south-hill-vista-apartments,University of Idaho,Moscow,ID,Apartment,,,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,Townhouse-style 2/3-bedroom apartments for graduate students/families,,https://www.uidaho.edu/student-life/housing-dining/residence-halls,University of Idaho Housing & Residence Life,,2026-05-16
Andreen Hall,andreen-hall,Augustana College,Rock Island,IL,,,,213,https://www.augustana.edu/student-life/residential-life/halls,Traditional residence hall near Lincoln Park,,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Erickson Residence Center,erickson-residence-center,Augustana College,Rock Island,IL,,,,350,https://www.augustana.edu/student-life/residential-life/halls,Upper campus residence center,,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Seminary Hall,seminary-hall,Augustana College,Rock Island,IL,,,,80,https://www.augustana.edu/student-life/residential-life/halls,Two-room unit residence hall,,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Swanson Commons,swanson-commons,Augustana College,Rock Island,IL,Suite,,,239,https://www.augustana.edu/student-life/residential-life/halls,Residence hall with TLA apartments and two-bedroom suites,,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Westerlin Residence Center,westerlin-residence-center,Augustana College,Rock Island,IL,,,,455,https://www.augustana.edu/student-life/residential-life/halls,Three-wing upper campus residence center (Jenny Lind/Immanuel/Westerlin),,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Anderson Bartholomew,anderson-bartholomew,Augustana College,Rock Island,IL,Suite,,,32,https://www.augustana.edu/student-life/residential-life/halls,Deluxe-style sophomore housing (Andy/Bart),,https://www.augustana.edu/student-life/residential-life/halls,Augustana College Residential Life,,2026-05-16
Pemberton Hall,pemberton-hall,Eastern Illinois University,Charleston,IL,,,1908,,https://www.eiu.edu/housing/housingoptions.php,Historic all-female residence hall (first in Illinois),,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Lincoln Hall,lincoln-hall,Eastern Illinois University,Charleston,IL,,,,,https://www.eiu.edu/housing/housingoptions.php,Female residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Powell-Norton Hall,powell-norton-hall,Eastern Illinois University,Charleston,IL,,,,,https://www.eiu.edu/housing/housingoptions.php,Male residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
McKinney Hall,mckinney-hall,Eastern Illinois University,Charleston,IL,,,1959,,https://www.eiu.edu/housing/housingoptions.php,Triad residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Stevenson Hall,stevenson-hall,Eastern Illinois University,Charleston,IL,,,1968,,https://www.eiu.edu/housing/housingoptions.php,Co-ed residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Andrews Hall,andrews-hall,Eastern Illinois University,Charleston,IL,,,,,https://www.eiu.edu/housing/housingoptions.php,Residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Lawson Hall,lawson-hall,Eastern Illinois University,Charleston,IL,,,,,https://www.eiu.edu/housing/housingoptions.php,Residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Taylor Hall,taylor-hall,Eastern Illinois University,Charleston,IL,,,,,https://www.eiu.edu/housing/housingoptions.php,Residence hall,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
University Court,university-court,Eastern Illinois University,Charleston,IL,Apartment,,,,https://www.eiu.edu/housing/housingoptions.php,Apartment complex,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
University Apartments,university-apartments,Eastern Illinois University,Charleston,IL,Apartment,,,,https://www.eiu.edu/housing/housingoptions.php,Apartment complex,,https://www.eiu.edu/housing/,Eastern Illinois University Housing,,2026-05-16
Dinkmeyer Hall,dinkmeyer-hall,Elmhurst University,Elmhurst,IL,Suite,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Suite-style residence hall overlooking University Mall,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Niebuhr Hall,niebuhr-hall,Elmhurst University,Elmhurst,IL,Double,,,,https://www.elmhurstcollege.com/student-life/living-on-campus/housing-options/niebuhr-hall/,First-year residence hall with double rooms,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Cureton Hall,cureton-hall,Elmhurst University,Elmhurst,IL,,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Honors Living Learning Community residence hall,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Schick Hall,schick-hall,Elmhurst University,Elmhurst,IL,,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Oldest and largest residence hall with singles and doubles,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Stanger Hall,stanger-hall,Elmhurst University,Elmhurst,IL,,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Fully air-conditioned residence hall with kitchenettes,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
West Hall,west-hall,Elmhurst University,Elmhurst,IL,,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Traditional residence hall,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Elm Park Apartments,elm-park-apartments,Elmhurst University,Elmhurst,IL,Apartment,,,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Two- and three-bedroom apartment complex,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Prospect Apartments,prospect-apartments,Elmhurst University,Elmhurst,IL,Apartment,,,28,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Two-bedroom apartment community on east side of campus,,https://www.elmhurst.edu/student-life/living-on-campus/housing-options/,Elmhurst University Housing,,2026-05-16
Alumni Court,alumni-court,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Arnold Hall,arnold-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Darst Hall,darst-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Deweese Hall,deweese-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Ford Hall,ford-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Gunzenhauser Hall,gunzenhauser-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
Langston Hall,langston-hall,Eureka College,Eureka,IL,,,,,https://www.eureka.edu/student-life/housing-and-residence-life,Residence hall,,https://www.eureka.edu/student-life/housing-and-residence-life,Eureka College Housing & Residence Life,,2026-05-16
